PUBLISHDATE,VERSION,ZONE,PNODEID,PNODENAME,PNODETYPE,PRICINGTYPE,H1,H2,H2DST,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
05-12-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,32.946504,30.040214,,40.219973,22.452745,24.011308,25.013515,27.700567,29.230642,39.098387,78.830896,72.596332,57.835719,48.539274,34.010909,56.99208,58.434377,51.046661,90.082893,58.793516,41.313102,32.429302,36.029517,27.686004,25.426108
05-16-2015,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,22.93596,20.095752,,17.638211,15.54981,19.836487,21.90401,28.660461,36.380949,41.358617,33.191197,29.718151,43.473692,43.199602,47.212136,18.958611,38.784346,46.104976,30.934517,35.521813,30.919992,35.329452,37.124707,26.747555,25.244739
05-17-2015,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,22.876657,21.282841,,14.752551,19.754862,15.563784,16.488509,21.356398,17.578301,28.209587,32.817561,22.040097,22.051776,18.990482,17.591881,27.789715,31.83996,41.165019,35.185301,61.791807,36.244605,51.475331,39.529976,22.608345,22.127259
05-18-2015,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,19.248577,17.522923,,17.755001,16.237903,20.060885,24.638019,34.388183,51.251609,36.700707,38.933139,60.530501,66.276672,43.035598,40.151899,27.395816,42.393203,63.689795,43.021206,33.299375,34.867733,34.163489,31.357286,18.382893,19.513787
05-19-2015,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,14.599877,19.905174,,6.16726,2.131867,19.247618,23.365915,28.887026,26.773442,25.497426,23.273929,25.267662,30.527915,54.358079,30.632922,33.584449,64.679329,68.068959,32.562289,31.517443,26.635263,33.328213,31.382508,24.712136,22.516951
05-20-2015,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,22.832951,21.82504,,19.746714,20.608981,18.794743,23.280715,22.715811,27.833041,27.602952,27.469115,27.219307,26.705367,29.511337,27.857322,28.633856,26.56193,28.109426,37.09353,27.735382,26.743396,103.187968,32.363204,24.666003,22.426818
05-21-2015,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,21.464181,20.793826,,20.167944,15.27658,18.167174,23.988686,23.888198,28.291531,29.215827,34.804539,25.02713,27.233812,25.256493,26.540108,25.617263,23.795307,24.694804,25.060923,23.649722,23.600582,23.957101,24.489204,19.575084,20.272462
05-22-2015,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,10.350136,17.485278,,14.120181,15.471958,16.476892,19.806065,18.718377,32.238748,25.575813,25.1571,26.329219,29.543115,25.58784,25.879499,24.876018,24.625558,24.960433,25.451203,24.386685,21.372507,22.227619,21.284331,19.861144,19.487321
02-20-2015,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,123.781077,33.709907,,57.198388,12.775554,38.981286,96.028999,274.930266,259.51836,292.073049,138.732222,140.041571,69.924381,54.984215,22.238533,59.389323,50.811143,45.366898,63.369589,61.4907,183.792171,274.525713,128.781476,53.719491,91.466649
02-21-2015,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,144.794641,129.525511,,68.223059,75.58578,172.957614,77.002826,84.771561,169.681895,95.772538,155.748359,91.701306,147.08735,70.79396,240.590477,50.473256,52.753746,90.618005,154.937249,178.148616,63.362267,119.099612,78.98397,70.10886,20.57469
02-22-2015,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,38.971356,34.166319,,30.924319,30.422022,33.295668,41.470053,33.040927,29.008569,46.199847,38.485269,31.46662,28.19641,28.888481,27.219562,27.274289,25.462554,29.178482,34.640281,70.274077,42.900053,44.636659,35.386835,30.740849,25.741574
02-23-2015,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,25.100227,24.924612,,24.976479,25.879264,28.79402,28.809191,76.468062,30.995123,60.627287,83.536441,56.519655,70.528813,42.398615,57.792662,33.139913,49.534588,45.526326,40.148747,129.446643,89.685397,93.095693,79.245176,31.620096,17.137149
02-24-2015,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,26.574659,26.565112,,27.83341,21.91111,63.026403,65.316803,58.828532,25.529505,35.385789,46.899762,44.647705,45.496294,43.582447,37.382694,35.885246,39.943153,46.276272,24.59682,37.221222,38.347188,36.99436,33.944148,36.253687,38.658739
02-25-2015,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,31.662885,36.058993,,26.833388,29.542755,33.811866,33.460507,27.472334,29.25106,43.814128,47.312044,56.284572,38.236993,37.261647,40.405468,33.3089,30.178245,25.873205,39.455755,123.056502,80.818104,78.609935,46.581875,51.035787,29.44715
02-26-2015,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,27.720246,26.896897,,27.028971,28.269221,29.157874,25.850781,79.739205,30.836247,38.417229,42.860846,47.640905,46.867406,50.516249,42.356676,30.793195,32.506353,30.771228,67.954863,35.997739,91.418033,69.606219,54.883417,71.014146,33.057103
06-04-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,17.801291,15.93138,,14.058002,12.657157,11.890905,13.192713,12.759557,15.707099,19.889559,22.460685,23.91673,26.77377,41.531222,26.18719,25.877782,29.272864,27.316034,39.888465,33.20396,25.19667,24.523767,24.2399,22.320803,19.959929
